Piece,Current State,Current Action,Value
2,"(1, 1)","(0, 0)",4.254372
2,"(1, 1)","(3, 3)",4.2
2,"(0, 2)","(2, 4)",34.45420414898738
-1,"(4, 0)","(3, 1)",0.6000000000000001
2,"(0, 0)","(2, 2)",3.8
-2,"(0, 4)","(1, 3)",0.5
-1,"(2, 4)","(1, 3)",0.5
-2,"(3, 5)","(5, 3)",4.6000000000000005
-2,"(3, 3)","(5, 5)",4.6000000000000005
-2,"(0, 0)","(1, 1)",0.5
